,high,date
0,9.029303550720215,2000-01-04
1,9.118265151977539,2000-01-05
2,9.429616928100586,2000-01-06
3,9.518576622009277,2000-01-07
4,10.00784969329834,2000-01-10
5,10.586073875427246,2000-01-11
6,9.963370323181152,2000-01-12
7,9.785449028015137,2000-01-13
8,9.82992935180664,2000-01-14
9,9.785449028015137,2000-01-17
10,10.230241775512695,2000-01-18
11,10.408163070678711,2000-01-19
12,10.452643394470215,2000-01-20
13,10.052321434020996,2000-01-21
14,9.963370323181152,2000-01-24
15,10.141282081604004,2000-01-25
16,10.2747220993042,2000-01-26
17,10.67503547668457,2000-01-27
18,10.719514846801758,2000-01-28
19,10.897436141967773,2000-01-31
20,10.85295581817627,2000-02-01
26,10.941916465759277,2000-02-09
27,11.564620018005371,2000-02-10
28,11.787020683288574,2000-02-11
29,11.787020683288574,2000-02-14
30,11.520139694213867,2000-02-15
31,11.297747611999512,2000-02-16
32,11.742541313171387,2000-02-17
33,12.23181438446045,2000-02-18
34,13.788583755493164,2000-02-21
35,14.500258445739746,2000-02-22
36,12.987958908081055,2000-02-23
37,12.00941276550293,2000-02-24
38,11.342228889465332,2000-02-25
40,10.897436141967773,2000-02-29
41,11.342228889465332,2000-03-01
42,11.47566032409668,2000-03-02
43,11.342228889465332,2000-03-03
44,10.67503547668457,2000-03-06
45,10.541593551635742,2000-03-07
46,10.941916465759277,2000-03-08
47,10.719514846801758,2000-03-09
48,10.67503547668457,2000-03-10
49,9.963370323181152,2000-03-13
50,9.518576622009277,2000-03-14
51,9.429616928100586,2000-03-15
52,9.207216262817383,2000-03-16
53,9.429616928100586,2000-03-17
54,10.052321434020996,2000-03-20
55,10.586073875427246,2000-03-21
56,10.541593551635742,2000-03-22
57,10.67503547668457,2000-03-23
58,10.586073875427246,2000-03-24
59,10.319202423095703,2000-03-27
60,10.363682746887207,2000-03-28
61,10.408163070678711,2000-03-29
62,10.408163070678711,2000-03-30
63,10.408163070678711,2000-03-31
66,10.230241775512695,2000-04-05
67,10.319202423095703,2000-04-06
68,10.408163070678711,2000-04-07
69,10.096800804138184,2000-04-10
70,10.141282081604004,2000-04-11
71,10.319202423095703,2000-04-12
72,10.096800804138184,2000-04-13
73,9.874409675598145,2000-04-14
74,9.518576622009277,2000-04-17
75,9.518576622009277,2000-04-18
76,9.47409725189209,2000-04-19
77,9.385136604309082,2000-04-20
78,9.429616928100586,2000-04-21
79,9.385136604309082,2000-04-24
80,9.25169563293457,2000-04-25
81,9.162735939025879,2000-04-26
82,9.029303550720215,2000-04-27
83,9.118265151977539,2000-04-28
85,9.029303550720215,2000-05-02
86,8.940343856811523,2000-05-03
87,9.073784828186035,2000-05-04
88,9.118265151977539,2000-05-05
89,9.118265151977539,2000-05-08
91,9.073784828186035,2000-05-10
92,9.029303550720215,2000-05-11
93,9.118265151977539,2000-05-12
94,9.118265151977539,2000-05-15
95,9.47409725189209,2000-05-16
96,9.429616928100586,2000-05-17
97,9.340656280517578,2000-05-18
98,9.429616928100586,2000-05-19
99,9.696489334106445,2000-05-22
100,10.319202423095703,2000-05-23
101,10.586073875427246,2000-05-24
102,10.185762405395508,2000-05-25
103,10.230241775512695,2000-05-26
104,10.497122764587402,2000-05-29
106,10.230241775512695,2000-05-31
107,9.82992935180664,2000-06-01
108,9.607527732849121,2000-06-02
109,9.607527732849121,2000-06-05
111,9.429616928100586,2000-06-07
112,9.340656280517578,2000-06-08
113,9.296175956726074,2000-06-09
114,9.118265151977539,2000-06-12
115,9.162735939025879,2000-06-13
116,9.162735939025879,2000-06-14
117,9.073784828186035,2000-06-15
118,9.118265151977539,2000-06-16
119,9.118265151977539,2000-06-19
120,9.162735939025879,2000-06-20
121,9.029303550720215,2000-06-21
122,9.029303550720215,2000-06-22
123,9.029303550720215,2000-06-23
124,9.029303550720215,2000-06-26
125,8.984824180603027,2000-06-27
126,8.984824180603027,2000-06-28
127,8.984824180603027,2000-06-29
128,8.940343856811523,2000-06-30
129,9.029303550720215,2000-07-03
130,9.25169563293457,2000-07-04
131,8.984824180603027,2000-07-05
132,8.984824180603027,2000-07-06
133,8.940343856811523,2000-07-07
134,8.984824180603027,2000-07-10
135,8.89586353302002,2000-07-11
136,8.89586353302002,2000-07-12
137,8.89586353302002,2000-07-13
