,high,date
0,4.345428943634033,2000-01-04
1,4.546608924865723,2000-01-05
2,4.667312145233154,2000-01-06
3,4.74778413772583,2000-01-07
4,4.74778413772583,2000-01-10
5,4.74778413772583,2000-01-11
6,4.707550048828125,2000-01-12
7,4.707550048828125,2000-01-13
8,4.687432765960693,2000-01-14
9,4.928842067718506,2000-01-17
10,4.908724784851074,2000-01-18
11,4.908724784851074,2000-01-19
12,4.908724784851074,2000-01-20
13,4.74778413772583,2000-01-21
14,4.707550048828125,2000-01-24
15,4.788018226623535,2000-01-25
16,4.868491172790527,2000-01-26
17,5.0294318199157715,2000-01-27
18,5.109904766082764,2000-01-28
19,5.150138854980469,2000-01-31
20,5.311079978942871,2000-02-01
21,5.150138854980469,2000-02-02
22,5.150138854980469,2000-02-03
23,5.150138854980469,2000-02-04
24,5.150138854980469,2000-02-07
25,5.150138854980469,2000-02-08
26,5.311079978942871,2000-02-09
27,5.5122599601745605,2000-02-10
28,5.572610855102539,2000-02-11
29,5.552494049072266,2000-02-14
30,5.37143611907959,2000-02-15
31,5.351318836212158,2000-02-16
32,5.713435173034668,2000-02-17
33,5.954848766326904,2000-02-18
34,6.156027793884277,2000-02-21
35,6.015200138092041,2000-02-22
36,5.612844944000244,2000-02-23
37,5.391552925109863,2000-02-24
38,5.109904766082764,2000-02-25
39,4.868491172790527,2000-02-28
40,4.989198207855225,2000-02-29
41,5.150138854980469,2000-03-01
42,5.190378189086914,2000-03-02
43,5.109904766082764,2000-03-03
44,4.989198207855225,2000-03-06
45,4.828257083892822,2000-03-07
46,4.888607978820801,2000-03-08
47,4.928842067718506,2000-03-09
48,4.908724784851074,2000-03-10
49,4.667312145233154,2000-03-13
50,4.586843013763428,2000-03-14
51,4.566726207733154,2000-03-15
52,4.446019172668457,2000-03-16
53,4.586843013763428,2000-03-17
54,4.808139801025391,2000-03-20
55,5.0294318199157715,2000-03-21
56,4.989198207855225,2000-03-22
57,5.0294318199157715,2000-03-23
58,5.0294318199157715,2000-03-24
59,4.908724784851074,2000-03-27
60,5.109904766082764,2000-03-28
61,5.109904766082764,2000-03-29
62,5.08978796005249,2000-03-30
63,4.989198207855225,2000-03-31
64,4.868491172790527,2000-04-03
65,4.868491172790527,2000-04-04
66,5.069665908813477,2000-04-05
67,5.230611801147461,2000-04-06
68,5.290963172912598,2000-04-07
69,5.190378189086914,2000-04-10
