,high,date
0,7.027563095092773,2000-01-04
1,7.189115047454834,2000-01-05
2,7.673772811889648,2000-01-06
3,8.158438682556152,2000-01-07
4,8.239215850830078,2000-01-10
5,8.319992065429688,2000-01-11
6,7.835333824157715,2000-01-12
7,7.835333824157715,2000-01-13
8,7.835333824157715,2000-01-14
9,8.07766342163086,2000-01-17
10,8.239215850830078,2000-01-18
11,8.683481216430664,2000-01-19
12,8.562320709228516,2000-01-20
13,8.037270545959473,2000-01-21
14,8.239215850830078,2000-01-24
15,8.360376358032227,2000-01-25
16,8.360376358032227,2000-01-26
17,8.602705001831055,2000-01-27
18,8.72387409210205,2000-01-28
19,8.562320709228516,2000-01-31
20,8.562320709228516,2000-02-01
26,8.80465030670166,2000-02-09
27,9.289307594299316,2000-02-10
28,9.935525894165039,2000-02-11
29,9.773965835571289,2000-02-14
30,9.572029113769531,2000-02-15
31,9.531637191772461,2000-02-16
32,10.016303062438965,2000-02-17
33,10.177854537963867,2000-02-18
34,10.824066162109375,2000-02-21
35,10.500961303710938,2000-02-22
36,9.693188667297363,2000-02-23
37,9.127755165100098,2000-02-24
38,8.683481216430664,2000-02-25
40,8.643096923828125,2000-02-29
41,9.127755165100098,2000-03-01
42,9.127755165100098,2000-03-02
43,8.80465030670166,2000-03-03
44,8.481545448303223,2000-03-06
45,8.44115161895752,2000-03-07
46,8.400768280029297,2000-03-08
47,8.400768280029297,2000-03-09
48,8.360376358032227,2000-03-10
49,8.07766342163086,2000-03-13
50,7.673772811889648,2000-03-14
51,7.633388996124268,2000-03-15
52,7.471837043762207,2000-03-16
53,7.512220859527588,2000-03-17
54,7.714166164398193,2000-03-20
55,7.875718116760254,2000-03-21
56,8.07766342163086,2000-03-22
57,8.481545448303223,2000-03-23
58,8.400768280029297,2000-03-24
59,8.400768280029297,2000-03-27
60,8.44115161895752,2000-03-28
61,8.44115161895752,2000-03-29
62,8.400768280029297,2000-03-30
63,8.481545448303223,2000-03-31
66,8.602705001831055,2000-04-05
67,8.885425567626953,2000-04-06
68,9.046978950500488,2000-04-07
69,8.885425567626953,2000-04-10
70,9.127755165100098,2000-04-11
71,9.289307594299316,2000-04-12
72,9.127755165100098,2000-04-13
73,8.885425567626953,2000-04-14
74,8.319992065429688,2000-04-17
75,8.562320709228516,2000-04-18
76,8.521928787231445,2000-04-19
77,8.360376358032227,2000-04-20
78,8.319992065429688,2000-04-21
79,8.319992065429688,2000-04-24
80,8.319992065429688,2000-04-25
81,8.239215850830078,2000-04-26
82,7.916110992431641,2000-04-27
83,7.835333824157715,2000-04-28
85,7.754558086395264,2000-05-02
86,7.552612781524658,2000-05-03
87,7.633388996124268,2000-05-04
88,7.673772811889648,2000-05-05
89,7.673772811889648,2000-05-08
91,7.754558086395264,2000-05-10
92,7.754558086395264,2000-05-11
93,7.875718116760254,2000-05-12
94,7.875718116760254,2000-05-15
95,7.9564948081970215,2000-05-16
96,8.07766342163086,2000-05-17
97,7.99688720703125,2000-05-18
98,8.481545448303223,2000-05-19
99,8.562320709228516,2000-05-22
100,8.481545448303223,2000-05-23
101,8.158438682556152,2000-05-24
102,8.07766342163086,2000-05-25
103,8.037270545959473,2000-05-26
104,8.239215850830078,2000-05-29
106,8.158438682556152,2000-05-31
107,8.07766342163086,2000-06-01
108,8.158438682556152,2000-06-02
109,8.319992065429688,2000-06-05
111,8.158438682556152,2000-06-07
112,8.07766342163086,2000-06-08
113,8.158438682556152,2000-06-09
114,8.07766342163086,2000-06-12
115,7.9564948081970215,2000-06-13
116,7.9564948081970215,2000-06-14
117,7.875718116760254,2000-06-15
118,7.9564948081970215,2000-06-16
119,7.99688720703125,2000-06-19
120,7.916110992431641,2000-06-20
121,7.7949419021606445,2000-06-21
122,7.714166164398193,2000-06-22
123,7.673772811889648,2000-06-23
124,7.714166164398193,2000-06-26
125,7.714166164398193,2000-06-27
126,7.633388996124268,2000-06-28
127,7.512220859527588,2000-06-29
128,7.471837043762207,2000-06-30
129,7.633388996124268,2000-07-03
130,7.673772811889648,2000-07-04
131,7.592997074127197,2000-07-05
132,7.673772811889648,2000-07-06
133,7.754558086395264,2000-07-07
134,7.835333824157715,2000-07-10
135,7.916110992431641,2000-07-11
136,7.673772811889648,2000-07-12
137,7.673772811889648,2000-07-13
138,7.835333824157715,2000-07-14
139,8.158438682556152,2000-07-17
140,7.7736968994140625,2000-07-18
141,7.7736968994140625,2000-07-19
142,7.395516872406006,2000-07-20
143,7.269460201263428,2000-07-21
144,7.311479091644287,2000-07-24
145,7.311479091644287,2000-07-25
146,7.1433939933776855,2000-07-26
147,7.1433939933776855,2000-07-27
148,7.1433939933776855,2000-07-28
149,7.395516872406006,2000-07-31
150,7.395516872406006,2000-08-01
151,7.311479091644287,2000-08-02
152,7.1433939933776855,2000-08-03
153,7.1433939933776855,2000-08-04
154,7.1433939933776855,2000-08-07
155,7.059356212615967,2000-08-08
156,7.479555130004883,2000-08-09
157,7.395516872406006,2000-08-10
158,7.22744083404541,2000-08-11
159,7.1433939933776855,2000-08-14
160,7.311479091644287,2000-08-15
161,7.269460201263428,2000-08-16
162,7.1433939933776855,2000-08-17
163,7.1433939933776855,2000-08-18
164,7.101375102996826,2000-08-21
165,7.22744083404541,2000-08-22
167,7.1433939933776855,2000-08-24
168,7.059356212615967,2000-08-25
169,6.8492608070373535,2000-08-28
170,6.555119037628174,2000-08-29
171,6.429060935974121,2000-08-30
172,6.218957901000977,2000-08-31
173,5.966835021972656,2000-09-01
174,6.008862018585205,2000-09-04
175,6.134919166564941,2000-09-05
176,6.0508809089660645,2000-09-06
177,5.966835021972656,2000-09-07
178,5.966835021972656,2000-09-08
179,5.882796764373779,2000-09-11
181,5.882796764373779,2000-09-13
182,5.798758029937744,2000-09-14
183,5.672700881958008,2000-09-15
184,5.126436233520508,2000-09-18
185,4.9163408279418945,2000-09-19
186,4.9163408279418945,2000-09-20
187,5.252501964569092,2000-09-21
188,5.252501964569092,2000-09-22
189,5.252501964569092,2000-09-25
190,5.126436233520508,2000-09-26
191,5.042397975921631,2000-09-27
192,5.126436233520508,2000-09-28
193,5.042397975921631,2000-09-29
194,4.958360195159912,2000-10-02
195,5.042397975921631,2000-10-03
196,4.832303047180176,2000-10-04
197,5.0003790855407715,2000-10-05
198,5.252501964569092,2000-10-06
199,5.126436233520508,2000-10-09
201,5.042397975921631,2000-10-11
202,4.958360195159912,2000-10-12
