,high,date
0,34.5,2002-08-27
1,33.5,2002-08-28
2,32.875,2002-08-29
3,33.25,2002-08-30
4,32.875,2002-09-02
5,32.875,2002-09-03
6,32.25,2002-09-04
7,32.875,2002-09-05
8,31.625,2002-09-06
9,31.875,2002-09-09
10,32.75,2002-09-10
11,32.625,2002-09-11
12,31.5,2002-09-12
13,30.875,2002-09-13
14,29.25,2002-09-16
15,29.5,2002-09-17
16,28.875,2002-09-18
17,29.0,2002-09-19
18,28.75,2002-09-20
19,28.625,2002-09-23
20,27.75,2002-09-24
21,27.125,2002-09-25
22,27.25,2002-09-26
23,27.25,2002-09-27
24,26.375,2002-09-30
25,26.375,2002-10-01
26,26.75,2002-10-02
27,25.875,2002-10-03
28,26.25,2002-10-04
29,26.0,2002-10-07
30,25.0,2002-10-08
31,25.5,2002-10-09
32,25.0,2002-10-10
33,24.875,2002-10-11
34,24.25,2002-10-14
35,25.5,2002-10-15
36,25.75,2002-10-16
37,25.375,2002-10-17
38,26.875,2002-10-18
39,26.625,2002-10-21
40,26.875,2002-10-22
41,26.75,2002-10-23
42,27.0,2002-10-24
43,26.625,2002-10-25
44,27.75,2002-10-28
45,27.75,2002-10-29
46,27.375,2002-10-30
47,27.25,2002-10-31
48,28.0,2002-11-01
49,27.75,2002-11-04
50,27.75,2002-11-05
51,27.375,2002-11-06
52,28.25,2002-11-07
53,28.375,2002-11-08
54,28.125,2002-11-11
55,27.375,2002-11-12
56,28.0,2002-11-13
57,28.625,2002-11-14
58,29.75,2002-11-15
59,29.0,2002-11-18
60,28.25,2002-11-19
61,27.625,2002-11-20
62,27.375,2002-11-21
63,27.25,2002-11-22
64,27.25,2002-11-25
65,27.625,2002-11-26
66,27.125,2002-11-27
67,27.25,2002-11-28
68,27.0,2002-11-29
69,26.875,2002-12-02
70,27.375,2002-12-03
71,27.25,2002-12-04
72,27.75,2002-12-05
73,28.0,2002-12-06
74,29.25,2002-12-09
75,28.375,2002-12-10
76,29.25,2002-12-11
77,28.625,2002-12-12
78,28.625,2002-12-13
79,28.625,2002-12-16
80,28.625,2002-12-17
81,28.375,2002-12-18
82,28.5,2002-12-19
83,29.5,2002-12-20
84,28.75,2002-12-23
85,28.375,2002-12-24
86,28.125,2002-12-25
87,28.0,2002-12-26
88,28.125,2002-12-27
89,28.125,2002-12-30
90,28.875,2002-12-31
91,28.5,2003-01-01
92,30.375,2003-01-02
93,31.625,2003-01-03
94,32.125,2003-01-06
95,31.875,2003-01-07
96,33.125,2003-01-08
