,high,date
0,65.25,2012-11-01
1,65.0,2012-11-02
2,65.0,2012-11-05
3,65.0,2012-11-06
4,65.0,2012-11-07
5,65.0,2012-11-08
6,65.0,2012-11-09
7,65.0,2012-11-12
8,65.0,2012-11-13
9,65.0,2012-11-14
10,65.0,2012-11-15
11,65.0,2012-11-16
12,65.0,2012-11-19
13,65.0,2012-11-20
14,65.0,2012-11-21
15,65.0,2012-11-22
16,65.0,2012-11-23
17,65.0,2012-11-26
18,65.0,2012-11-27
19,65.0,2012-11-28
20,65.0,2012-11-29
21,65.0,2012-11-30
22,65.0,2012-12-03
23,65.0,2012-12-04
24,65.0,2012-12-05
25,65.0,2012-12-06
26,65.0,2012-12-07
27,65.0,2012-12-10
28,65.0,2012-12-11
29,65.0,2012-12-12
30,65.0,2012-12-13
31,65.0,2012-12-14
32,65.0,2012-12-17
33,65.0,2012-12-18
34,65.0,2012-12-19
35,65.0,2012-12-20
36,65.0,2012-12-21
37,65.0,2012-12-24
38,65.0,2012-12-25
39,65.0,2012-12-26
40,65.0,2012-12-27
41,65.0,2012-12-28
42,65.0,2013-01-02
43,65.0,2013-01-03
44,65.0,2013-01-04
45,65.0,2013-01-07
46,65.0,2013-01-08
47,65.0,2013-01-09
48,65.0,2013-01-10
49,65.0,2013-01-11
50,65.0,2013-01-14
51,65.0,2013-01-15
52,65.0,2013-01-16
53,65.0,2013-01-17
54,65.0,2013-01-18
55,65.0,2013-01-21
56,65.0,2013-01-22
57,65.0,2013-01-23
58,65.0,2013-01-24
59,65.0,2013-01-25
60,65.0,2013-01-28
61,65.0,2013-01-29
62,65.0,2013-01-30
63,65.0,2013-01-31
64,65.0,2013-02-01
65,65.0,2013-02-04
66,65.0,2013-02-05
67,65.0,2013-02-06
68,65.0,2013-02-18
69,65.0,2013-02-19
70,65.0,2013-02-20
71,65.0,2013-02-21
72,65.0,2013-02-22
73,65.0,2013-02-25
74,65.0,2013-02-26
75,65.0,2013-02-27
76,65.0,2013-03-01
77,65.0,2013-03-04
78,65.0,2013-03-05
79,65.0,2013-03-06
80,65.0,2013-03-07
81,65.0,2013-03-08
82,65.0,2013-03-11
83,58.0,2013-03-12
84,57.5,2013-03-13
85,57.70000076293945,2013-03-14
86,57.599998474121094,2013-03-15
87,57.599998474121094,2013-03-18
88,57.29999923706055,2013-03-19
89,57.79999923706055,2013-03-20
90,57.79999923706055,2013-03-21
91,57.79999923706055,2013-03-22
92,58.0,2013-03-25
93,58.0,2013-03-26
94,58.0,2013-03-27
95,60.4900016784668,2013-03-28
96,60.5,2013-03-29
97,61.0,2013-04-01
98,60.0,2013-04-02
99,59.79999923706055,2013-04-03
100,59.20000076293945,2013-04-08
101,58.0,2013-04-09
102,58.0,2013-04-10
103,59.0099983215332,2013-04-11
104,60.0,2013-04-12
105,59.900001525878906,2013-04-15
106,59.88999938964844,2013-04-16
107,59.88999938964844,2013-04-17
108,59.88999938964844,2013-04-18
109,59.5,2013-04-19
110,59.5,2013-04-22
111,59.2400016784668,2013-04-23
112,58.5099983215332,2013-04-24
113,58.5099983215332,2013-04-25
114,59.4900016784668,2013-04-26
115,57.709999084472656,2013-04-29
116,58.099998474121094,2013-04-30
117,59.599998474121094,2013-05-02
118,60.099998474121094,2013-05-03
119,59.54999923706055,2013-05-06
120,59.369998931884766,2013-05-07
121,59.369998931884766,2013-05-08
122,60.09000015258789,2013-05-09
123,60.09000015258789,2013-05-10
124,60.099998474121094,2013-05-13
125,60.0,2013-05-14
126,60.0,2013-05-15
127,60.09000015258789,2013-05-16
128,60.09000015258789,2013-05-17
129,60.09000015258789,2013-05-20
130,59.9900016784668,2013-05-21
131,59.95000076293945,2013-05-22
132,59.5099983215332,2013-05-23
133,59.9900016784668,2013-05-24
134,59.9900016784668,2013-05-27
135,59.5099983215332,2013-05-28
136,60.0,2013-05-29
137,60.0,2013-05-30
138,62.4900016784668,2013-05-31
139,60.810001373291016,2013-06-03
140,62.29999923706055,2013-06-04
141,63.0099983215332,2013-06-05
142,67.0,2013-06-06
143,72.80999755859375,2013-06-07
144,77.0,2013-06-10
145,77.48999786376953,2013-06-11
146,76.79000091552734,2013-06-13
147,74.0999984741211,2013-06-14
148,71.0,2013-06-17
149,71.0999984741211,2013-06-18
150,72.48999786376953,2013-06-19
151,71.5,2013-06-20
152,70.69000244140625,2013-06-21
153,70.69000244140625,2013-06-24
154,71.0,2013-06-25
155,71.19999694824219,2013-06-26
156,72.0,2013-06-27
157,72.0,2013-06-28
158,73.0,2013-07-01
159,73.79000091552734,2013-07-02
160,74.0,2013-07-03
161,75.5,2013-07-04
162,77.01000213623047,2013-07-05
163,82.0,2013-07-08
164,83.48999786376953,2013-07-09
165,83.5,2013-07-10
166,81.69999694824219,2013-07-11
167,86.94999694824219,2013-07-12
168,87.0,2013-07-15
169,90.20999908447266,2013-07-16
170,93.0,2013-07-17
171,91.88999938964844,2013-07-18
172,89.5,2013-07-19
173,87.80000305175781,2013-07-22
174,90.0,2013-07-23
175,89.5999984741211,2013-07-24
176,89.80000305175781,2013-07-25
177,89.88999938964844,2013-07-26
178,90.48999786376953,2013-07-29
179,91.5,2013-07-30
180,92.88999938964844,2013-07-31
181,95.5,2013-08-01
182,99.66999816894531,2013-08-02
183,109.0,2013-08-05
184,125.98999786376953,2013-08-06
185,115.0,2013-08-07
186,109.5,2013-08-08
187,106.0,2013-08-09
188,110.4000015258789,2013-08-12
189,111.88999938964844,2013-08-13
190,110.72000122070312,2013-08-14
191,106.98999786376953,2013-08-15
192,110.48999786376953,2013-08-16
193,110.4000015258789,2013-08-19
194,109.19000244140625,2013-08-20
195,105.23999786376953,2013-08-22
196,106.0,2013-08-23
197,105.69000244140625,2013-08-26
198,105.0,2013-08-27
199,104.19999694824219,2013-08-28
200,104.0,2013-08-29
201,103.19000244140625,2013-08-30
202,102.0,2013-09-02
203,107.48999786376953,2013-09-03
204,109.45999908447266,2013-09-04
205,105.4000015258789,2013-09-05
206,103.30000305175781,2013-09-06
207,103.48999786376953,2013-09-09
208,106.48999786376953,2013-09-10
209,107.48999786376953,2013-09-11
210,108.98999786376953,2013-09-12
211,108.98999786376953,2013-09-13
212,107.88999938964844,2013-09-16
213,107.20999908447266,2013-09-17
214,108.38999938964844,2013-09-18
215,106.5,2013-09-23
216,98.0,2013-09-24
217,92.5,2013-09-25
218,90.9000015258789,2013-09-26
219,88.19999694824219,2013-09-27
220,86.69999694824219,2013-09-30
221,89.19999694824219,2013-10-01
222,88.19999694824219,2013-10-02
223,89.69999694824219,2013-10-03
224,88.4000015258789,2013-10-04
225,88.0,2013-10-07
226,87.69999694824219,2013-10-08
227,86.19999694824219,2013-10-09
228,89.0,2013-10-11
229,88.5,2013-10-14
230,88.5999984741211,2013-10-15
231,89.19999694824219,2013-10-16
232,90.0,2013-10-17
233,89.5,2013-10-18
234,89.0,2013-10-21
235,87.19999694824219,2013-10-22
236,87.0999984741211,2013-10-23
237,88.5999984741211,2013-10-24
238,87.9000015258789,2013-10-25
239,87.9000015258789,2013-10-28
240,87.19999694824219,2013-10-29
241,86.69999694824219,2013-10-30
242,86.5999984741211,2013-10-31
243,87.5,2013-11-01
244,87.0,2013-11-04
245,86.4000015258789,2013-11-05
246,86.0999984741211,2013-11-06
247,86.0,2013-11-07
248,86.30000305175781,2013-11-08
249,86.0,2013-11-11
250,85.80000305175781,2013-11-12
251,88.5,2013-11-13
252,89.0,2013-11-14
253,95.19999694824219,2013-11-15
254,101.5,2013-11-18
255,103.5,2013-11-19
256,107.5,2013-11-20
257,114.0,2013-11-21
258,113.5,2013-11-22
259,109.0,2013-11-25
260,113.0,2013-11-26
261,120.0,2013-11-27
262,118.5,2013-11-28
263,123.0,2013-11-29
264,131.5,2013-12-02
265,140.5,2013-12-03
266,140.0,2013-12-04
267,144.0,2013-12-05
268,146.0,2013-12-06
269,142.0,2013-12-09
270,141.5,2013-12-10
271,138.0,2013-12-11
272,138.0,2013-12-12
273,142.0,2013-12-13
274,140.0,2013-12-16
275,134.0,2013-12-17
276,133.5,2013-12-18
277,132.0,2013-12-19
278,133.0,2013-12-20
279,131.0,2013-12-23
280,135.0,2013-12-24
281,135.5,2013-12-25
282,131.5,2013-12-26
283,131.0,2013-12-27
284,129.5,2013-12-30
285,129.5,2013-12-31
286,128.0,2014-01-02
287,127.5,2014-01-03
288,133.0,2014-01-06
289,127.5,2014-01-07
290,125.0,2014-01-08
291,123.0,2014-01-09
292,121.0,2014-01-10
293,121.0,2014-01-13
294,119.5,2014-01-14
295,119.0,2014-01-15
296,119.5,2014-01-16
297,117.0,2014-01-17
298,117.5,2014-01-20
299,114.5,2014-01-21
300,118.5,2014-01-22
301,121.0,2014-01-23
302,117.0,2014-01-24
303,116.0,2014-01-27
304,115.0,2014-02-05
305,113.0,2014-02-06
306,116.5,2014-02-07
307,118.5,2014-02-10
308,115.0,2014-02-11
309,114.5,2014-02-12
310,113.5,2014-02-13
311,115.0,2014-02-14
312,115.0,2014-02-17
313,114.5,2014-02-18
314,119.5,2014-02-19
315,118.5,2014-02-20
316,120.0,2014-02-21
317,119.0,2014-02-24
318,118.0,2014-02-25
319,116.0,2014-02-26
320,115.5,2014-02-27
321,114.5,2014-03-03
322,114.0,2014-03-04
323,121.0,2014-03-05
324,120.5,2014-03-06
325,123.5,2014-03-07
326,120.5,2014-03-10
327,119.5,2014-03-11
328,119.0,2014-03-12
329,119.5,2014-03-13
330,119.0,2014-03-14
331,126.0,2014-03-17
332,125.0,2014-03-18
333,122.5,2014-03-19
334,124.5,2014-03-20
335,129.0,2014-03-21
336,126.0,2014-03-24
337,126.0,2014-03-25
338,128.0,2014-03-26
339,126.5,2014-03-27
340,124.5,2014-03-28
341,122.0,2014-03-31
342,124.0,2014-04-01
343,123.0,2014-04-02
344,121.0,2014-04-03
345,121.0,2014-04-07
346,122.5,2014-04-08
347,119.5,2014-04-09
348,118.5,2014-04-10
349,118.0,2014-04-11
350,118.0,2014-04-14
351,117.0,2014-04-15
352,117.0,2014-04-16
353,120.5,2014-04-17
354,118.5,2014-04-18
355,117.0,2014-04-21
356,118.0,2014-04-22
357,117.0,2014-04-23
358,120.0,2014-04-24
359,117.0,2014-04-25
360,111.5,2014-04-28
361,113.0,2014-04-29
362,112.0,2014-04-30
363,111.5,2014-05-02
364,113.0,2014-05-05
365,113.0,2014-05-06
366,113.0,2014-05-07
367,113.5,2014-05-08
368,113.0,2014-05-09
369,112.0,2014-05-12
370,111.0,2014-05-13
371,107.0,2014-05-14
372,107.5,2014-05-15
373,106.5,2014-05-16
374,108.0,2014-05-19
375,108.0,2014-05-20
376,109.0,2014-05-21
377,110.0,2014-05-22
378,110.0,2014-05-23
379,113.0,2014-05-26
380,113.5,2014-05-27
381,114.0,2014-05-28
382,114.5,2014-05-29
383,113.5,2014-05-30
384,113.5,2014-06-03
385,112.0,2014-06-04
386,111.0,2014-06-05
387,117.5,2014-06-06
388,117.0,2014-06-09
389,116.5,2014-06-10
390,116.5,2014-06-11
391,116.0,2014-06-12
392,114.5,2014-06-13
393,114.5,2014-06-16
394,114.5,2014-06-17
395,115.0,2014-06-18
396,114.5,2014-06-19
397,116.0,2014-06-20
398,115.0,2014-06-23
399,114.0,2014-06-24
400,116.0,2014-06-25
401,115.0,2014-06-26
402,115.0,2014-06-27
403,116.0,2014-06-30
404,117.5,2014-07-01
405,116.5,2014-07-02
406,113.5,2014-07-03
407,114.5,2014-07-04
408,114.5,2014-07-07
409,115.0,2014-07-08
410,114.5,2014-07-09
411,114.0,2014-07-10
412,113.5,2014-07-11
413,112.0,2014-07-14
