,high,date
0,6.847062110900879,2000-01-04
1,6.847062110900879,2000-01-05
2,7.048446178436279,2000-01-06
3,7.537521839141846,2000-01-07
4,8.055367469787598,2000-01-10
5,8.343058586120605,2000-01-11
6,7.940290927886963,2000-01-12
7,7.911521911621094,2000-01-13
8,7.767675876617432,2000-01-14
9,7.5950608253479,2000-01-17
10,7.911521911621094,2000-01-18
11,7.969059944152832,2000-01-19
12,7.907206058502197,2000-01-20
13,8.105713844299316,2000-01-21
14,8.105713844299316,2000-01-24
15,8.171882629394531,2000-01-25
16,8.105713844299316,2000-01-26
17,8.105713844299316,2000-01-27
18,8.436558723449707,2000-01-28
19,8.601982116699219,2000-01-31
20,8.833574295043945,2000-02-01
21,8.115076065063477,2000-02-02
22,8.115076065063477,2000-02-03
23,8.115076065063477,2000-02-04
24,8.115076065063477,2000-02-07
25,8.115076065063477,2000-02-08
26,8.767403602600098,2000-02-09
27,8.601982116699219,2000-02-10
28,8.767403602600098,2000-02-11
29,8.734319686889648,2000-02-14
30,8.535813331604004,2000-02-15
31,8.93282699584961,2000-02-16
32,9.03208065032959,2000-02-17
33,8.965911865234375,2000-02-18
34,9.495264053344727,2000-02-21
35,9.627602577209473,2000-02-22
36,10.156954765319824,2000-02-23
37,10.256209373474121,2000-02-24
38,10.09078598022461,2000-02-25
39,9.207491874694824,2000-02-28
40,9.991533279418945,2000-02-29
41,9.197504043579102,2000-03-01
42,9.429095268249512,2000-03-02
43,9.36292552947998,2000-03-03
44,8.866658210754395,2000-03-06
45,8.701234817504883,2000-03-07
46,8.701234817504883,2000-03-08
47,8.635066032409668,2000-03-09
48,8.403473854064941,2000-03-10
49,7.7086992263793945,2000-03-13
50,6.782331943511963,2000-03-14
51,6.782331943511963,2000-03-15
52,6.451486110687256,2000-03-16
53,6.517654895782471,2000-03-17
54,6.815415859222412,2000-03-20
55,7.245514869689941,2000-03-21
56,7.080092906951904,2000-03-22
57,7.179346084594727,2000-03-23
58,7.410937786102295,2000-03-24
59,7.245514869689941,2000-03-27
