,high,date
0,13.074691772460938,2000-01-04
1,12.863809585571289,2000-01-05
2,13.180132865905762,2000-01-06
3,13.285573959350586,2000-01-07
4,13.7073392868042,2000-01-10
5,13.81278133392334,2000-01-11
6,13.549174308776855,2000-01-12
7,13.918222427368164,2000-01-13
8,13.865497589111328,2000-01-14
9,13.65461540222168,2000-01-17
10,13.7073392868042,2000-01-18
11,13.443733215332031,2000-01-19
12,13.65461540222168,2000-01-20
13,13.549174308776855,2000-01-21
14,13.865497589111328,2000-01-24
15,13.65461540222168,2000-01-25
16,13.65461540222168,2000-01-26
17,13.918222427368164,2000-01-27
18,14.129103660583496,2000-01-28
19,13.865497589111328,2000-01-31
20,13.7073392868042,2000-02-01
26,13.865497589111328,2000-02-09
27,13.81278133392334,2000-02-10
28,14.076379776000977,2000-02-11
29,13.76005744934082,2000-02-14
30,13.391016006469727,2000-02-15
31,13.285573959350586,2000-02-16
32,13.65461540222168,2000-02-17
33,13.81278133392334,2000-02-18
34,13.81278133392334,2000-02-21
35,13.549174308776855,2000-02-22
36,13.338292121887207,2000-02-23
37,13.285573959350586,2000-02-24
38,13.021967887878418,2000-02-25
40,12.81108570098877,2000-02-29
41,12.758367538452148,2000-03-01
42,12.758367538452148,2000-03-02
43,12.65292739868164,2000-03-03
44,12.65292739868164,2000-03-06
45,12.547486305236816,2000-03-07
46,12.389327049255371,2000-03-08
47,12.336603164672852,2000-03-09
48,12.389327049255371,2000-03-10
49,11.862114906311035,2000-03-13
50,11.651239395141602,2000-03-14
51,11.651239395141602,2000-03-15
52,12.178444862365723,2000-03-16
53,12.442045211791992,2000-03-17
54,11.651239395141602,2000-03-20
55,11.862114906311035,2000-03-21
56,11.809396743774414,2000-03-22
57,12.020279884338379,2000-03-23
58,11.862114906311035,2000-03-24
59,11.70395565032959,2000-03-27
60,11.967561721801758,2000-03-28
61,11.914838790893555,2000-03-29
62,11.862114906311035,2000-03-30
63,11.70395565032959,2000-03-31
66,12.125720977783203,2000-04-05
67,12.389327049255371,2000-04-06
68,12.283880233764648,2000-04-07
69,12.125720977783203,2000-04-10
70,12.231162071228027,2000-04-11
71,12.494769096374512,2000-04-12
72,12.600202560424805,2000-04-13
73,12.178444862365723,2000-04-14
74,11.598514556884766,2000-04-17
75,11.862114906311035,2000-04-18
76,11.862114906311035,2000-04-19
77,11.651239395141602,2000-04-20
78,11.756672859191895,2000-04-21
79,11.70395565032959,2000-04-24
80,11.651239395141602,2000-04-25
81,11.651239395141602,2000-04-26
82,11.493074417114258,2000-04-27
83,11.598514556884766,2000-04-28
85,11.651239395141602,2000-05-02
86,11.598514556884766,2000-05-03
87,11.70395565032959,2000-05-04
88,11.967561721801758,2000-05-05
89,11.862114906311035,2000-05-08
91,11.914838790893555,2000-05-10
92,12.231162071228027,2000-05-11
93,12.389327049255371,2000-05-12
94,12.020279884338379,2000-05-15
95,12.020279884338379,2000-05-16
96,12.125720977783203,2000-05-17
97,12.125720977783203,2000-05-18
98,12.125720977783203,2000-05-19
99,12.020279884338379,2000-05-22
100,12.020279884338379,2000-05-23
101,11.809396743774414,2000-05-24
102,11.862114906311035,2000-05-25
103,12.073003768920898,2000-05-26
104,12.073003768920898,2000-05-29
106,12.336603164672852,2000-05-31
107,12.073003768920898,2000-06-01
108,12.073003768920898,2000-06-02
109,12.231162071228027,2000-06-05
111,12.125720977783203,2000-06-07
112,12.125720977783203,2000-06-08
113,11.967561721801758,2000-06-09
