,high,date
0,167.2240753173828,2014-07-15
1,137.7859649658203,2014-07-16
2,133.11036682128906,2014-07-17
3,130.43478393554688,2014-07-18
4,124.41471862792969,2014-07-21
5,126.08695220947266,2014-07-22
6,125.7458267211914,2014-07-23
7,124.9498291015625,2014-07-24
8,125.08361053466797,2014-07-25
9,123.74581909179688,2014-07-28
10,124.41471862792969,2014-07-29
11,122.74247741699219,2014-07-30
12,123.07023620605469,2014-07-31
13,121.07023620605469,2014-08-01
14,121.07691955566406,2014-08-04
15,122.07357788085938,2014-08-05
16,119.7324447631836,2014-08-06
17,119.06354522705078,2014-08-07
18,119.06354522705078,2014-08-08
19,118.39464569091797,2014-08-11
20,117.05685424804688,2014-08-12
21,122.50167083740234,2014-08-13
22,121.73912811279297,2014-08-14
23,132.3612060546875,2014-08-15
24,133.77926635742188,2014-08-18
25,133.7725830078125,2014-08-19
26,131.76588439941406,2014-08-20
27,127.75919342041016,2014-08-21
28,126.7491683959961,2014-08-22
29,125.0769271850586,2014-08-25
30,127.0836181640625,2014-08-26
31,126.7291030883789,2014-08-27
32,126.7157211303711,2014-08-28
33,126.7291030883789,2014-08-29
34,127.0836181640625,2014-09-01
35,127.0836181640625,2014-09-02
36,127.07691955566406,2014-09-03
37,127.0836181640625,2014-09-04
38,124.74916076660156,2014-09-05
39,124.67558288574219,2014-09-09
40,125.0769271850586,2014-09-10
41,124.78260803222656,2014-09-11
42,124.40803527832031,2014-09-12
43,126.7291030883789,2014-09-15
44,124.06688690185547,2014-09-16
45,124.41471862792969,2014-09-17
46,126.7291030883789,2014-09-18
47,137.1170654296875,2014-09-19
48,137.2976531982422,2014-09-22
49,140.4615478515625,2014-09-23
50,139.11705017089844,2014-09-24
51,135.7926483154297,2014-09-25
52,135.11036682128906,2014-09-26
53,135.11705017089844,2014-09-29
54,134.4481658935547,2014-09-30
55,135.11036682128906,2014-10-01
56,134.4481658935547,2014-10-02
57,137.7926483154297,2014-10-03
58,142.92308044433594,2014-10-06
59,142.92308044433594,2014-10-07
60,140.13377380371094,2014-10-08
61,147.1505126953125,2014-10-09
62,143.81271362304688,2014-10-13
63,137.99331665039062,2014-10-14
64,140.4615478515625,2014-10-15
65,135.11705017089844,2014-10-16
66,135.7190704345703,2014-10-17
