,high,date
0,44.90072250366211,2000-01-04
1,44.524986267089844,2000-01-05
2,44.337120056152344,2000-01-06
3,42.64629364013672,2000-01-07
4,43.58563995361328,2000-01-10
5,44.337120056152344,2000-01-11
6,42.83415985107422,2000-01-12
7,42.83415985107422,2000-01-13
8,43.02203369140625,2000-01-14
9,43.77351379394531,2000-01-17
10,43.20989990234375,2000-01-18
11,42.83415985107422,2000-01-19
12,41.89482116699219,2000-01-20
13,43.20989990234375,2000-01-21
14,44.337120056152344,2000-01-24
15,44.337120056152344,2000-01-25
16,47.155155181884766,2000-01-26
17,48.09449768066406,2000-01-27
18,46.2158088684082,2000-01-28
19,46.0279426574707,2000-01-31
20,46.779422760009766,2000-02-01
26,47.7187614440918,2000-02-09
27,46.591548919677734,2000-02-10
28,46.967281341552734,2000-02-11
29,47.34302520751953,2000-02-14
30,46.4036750793457,2000-02-15
31,46.591548919677734,2000-02-16
32,45.65220260620117,2000-02-17
33,45.84006881713867,2000-02-18
34,43.96138000488281,2000-02-21
35,42.64629364013672,2000-02-22
36,42.08268737792969,2000-02-23
37,42.08268737792969,2000-02-24
38,42.27055358886719,2000-02-25
40,43.02203369140625,2000-02-29
41,43.20989990234375,2000-03-01
42,43.20989990234375,2000-03-02
43,42.08268737792969,2000-03-03
44,42.27055358886719,2000-03-06
45,41.706947326660156,2000-03-07
46,41.33121109008789,2000-03-08
47,41.89482116699219,2000-03-09
48,42.45842742919922,2000-03-10
49,38.5131721496582,2000-03-13
50,38.32530975341797,2000-03-14
51,38.32530975341797,2000-03-15
52,37.198089599609375,2000-03-16
53,36.822349548339844,2000-03-17
54,35.69513702392578,2000-03-20
55,38.13743591308594,2000-03-21
56,39.452518463134766,2000-03-22
57,41.14334487915039,2000-03-23
58,41.519081115722656,2000-03-24
59,43.58563995361328,2000-03-27
60,45.08859634399414,2000-03-28
61,44.71285629272461,2000-03-29
62,46.591548919677734,2000-03-30
63,45.46432876586914,2000-03-31
66,46.779422760009766,2000-04-05
67,46.779422760009766,2000-04-06
68,44.71285629272461,2000-04-07
69,46.2158088684082,2000-04-10
70,44.71285629272461,2000-04-11
71,43.96138000488281,2000-04-12
72,41.33121109008789,2000-04-13
73,40.0161247253418,2000-04-14
74,36.634483337402344,2000-04-17
75,38.888912200927734,2000-04-18
76,39.452518463134766,2000-04-19
77,38.13743591308594,2000-04-20
78,37.198089599609375,2000-04-21
79,36.446617126464844,2000-04-24
80,36.822349548339844,2000-04-25
81,37.385963439941406,2000-04-26
82,36.446617126464844,2000-04-27
83,38.888912200927734,2000-04-28
85,40.76760482788086,2000-05-02
86,40.0161247253418,2000-05-03
87,39.452518463134766,2000-05-04
88,39.8282585144043,2000-05-05
89,40.57973861694336,2000-05-08
91,49.23674392700195,2000-05-10
92,46.801963806152344,2000-05-11
93,48.69568634033203,2000-05-12
94,49.23674392700195,2000-05-15
95,50.31887435913086,2000-05-16
96,53.02418899536133,2000-05-17
97,51.67152786254883,2000-05-18
98,51.40099334716797,2000-05-19
99,50.58939743041992,2000-05-22
100,49.23674392700195,2000-05-23
101,47.343021392822266,2000-05-24
102,47.884090423583984,2000-05-25
103,47.07249069213867,2000-05-26
104,47.884090423583984,2000-05-29
106,51.67152786254883,2000-05-31
