,high,date
0,13.271493911743164,2000-01-04
1,14.167607307434082,2000-01-05
2,14.3678560256958,2000-01-06
3,13.82217788696289,2000-01-07
4,13.87224006652832,2000-01-10
5,14.02242660522461,2000-01-11
6,13.221430778503418,2000-01-12
7,13.021183013916016,2000-01-13
8,12.820934295654297,2000-01-14
9,13.021183013916016,2000-01-17
10,13.271493911743164,2000-01-18
11,13.321556091308594,2000-01-19
12,13.021183013916016,2000-01-20
13,13.071245193481445,2000-01-21
14,13.421680450439453,2000-01-24
15,13.772115707397461,2000-01-25
16,13.671991348266602,2000-01-26
17,13.772115707397461,2000-01-27
18,14.02242660522461,2000-01-28
19,13.571866989135742,2000-01-31
20,13.772115707397461,2000-02-01
26,14.117545127868652,2000-02-09
27,14.868477821350098,2000-02-10
28,15.268976211547852,2000-02-11
29,14.668230056762695,2000-02-14
30,13.922303199768066,2000-02-15
31,14.417919158935547,2000-02-16
32,15.218914031982422,2000-02-17
33,16.069971084594727,2000-02-18
34,16.820905685424805,2000-02-21
35,16.01991081237793,2000-02-22
36,15.519287109375,2000-02-23
37,15.919784545898438,2000-02-24
38,15.319038391113281,2000-02-25
40,14.718292236328125,2000-02-29
41,15.068726539611816,2000-03-01
42,15.519287109375,2000-03-02
43,15.769598007202148,2000-03-03
44,14.317793846130371,2000-03-06
45,14.417919158935547,2000-03-07
46,14.668230056762695,2000-03-08
47,14.51804256439209,2000-03-09
48,14.51804256439209,2000-03-10
49,14.02242660522461,2000-03-13
50,13.82217788696289,2000-03-14
51,13.421680450439453,2000-03-15
52,12.870996475219727,2000-03-16
53,13.321556091308594,2000-03-17
54,12.770872116088867,2000-03-20
55,13.221430778503418,2000-03-21
56,13.371618270874023,2000-03-22
57,13.521804809570312,2000-03-23
58,13.521804809570312,2000-03-24
59,13.321556091308594,2000-03-27
60,13.421680450439453,2000-03-28
61,13.722053527832031,2000-03-29
62,14.072488784790039,2000-03-30
63,14.267731666564941,2000-03-31
66,13.221430778503418,2000-04-05
67,13.571866989135742,2000-04-06
68,13.471742630004883,2000-04-07
69,12.870996475219727,2000-04-10
70,13.021183013916016,2000-04-11
71,12.820934295654297,2000-04-12
72,12.570623397827148,2000-04-13
73,12.720808982849121,2000-04-14
74,11.50930404663086,2000-04-17
75,11.90980052947998,2000-04-18
76,11.50930404663086,2000-04-19
77,11.559366226196289,2000-04-20
78,11.809677124023438,2000-04-21
79,11.208930015563965,2000-04-24
80,11.108805656433105,2000-04-25
