,high,date
0,9.852363586425781,2000-01-04
1,9.939553260803223,2000-01-05
2,10.288309097290039,2000-01-06
3,10.375497817993164,2000-01-07
4,10.811443328857422,2000-01-10
5,11.02941608428955,2000-01-11
6,10.462686538696289,2000-01-12
7,10.462686538696289,2000-01-13
8,10.462686538696289,2000-01-14
9,11.814117431640625,2000-01-17
10,11.508955955505371,2000-01-18
11,11.770523071289062,2000-01-19
12,11.944901466369629,2000-01-20
13,11.334577560424805,2000-01-21
14,11.508955955505371,2000-01-24
15,11.683334350585938,2000-01-25
16,11.857711791992188,2000-01-26
17,12.032090187072754,2000-01-27
18,12.38084602355957,2000-01-28
19,12.38084602355957,2000-01-31
20,12.38084602355957,2000-02-01
26,12.38084602355957,2000-02-09
27,12.642414093017578,2000-02-10
28,13.514304161071777,2000-02-11
29,14.211816787719727,2000-02-14
30,13.863059997558594,2000-02-15
31,13.601492881774902,2000-02-16
32,13.950249671936035,2000-02-17
33,14.386195182800293,2000-02-18
34,16.391542434692383,2000-02-21
35,15.781220436096191,2000-02-22
36,14.822139739990234,2000-02-23
37,14.647762298583984,2000-02-24
38,14.386195182800293,2000-02-25
40,13.950249671936035,2000-02-29
41,14.124628067016602,2000-03-01
42,14.299006462097168,2000-03-02
43,13.775871276855469,2000-03-03
44,13.252737045288086,2000-03-06
45,13.165548324584961,2000-03-07
46,13.252737045288086,2000-03-08
47,13.165548324584961,2000-03-09
48,13.427115440368652,2000-03-10
49,13.07835865020752,2000-03-13
50,13.339925765991211,2000-03-14
51,14.124628067016602,2000-03-15
52,13.601492881774902,2000-03-16
53,13.688681602478027,2000-03-17
54,13.034764289855957,2000-03-20
55,13.863059997558594,2000-03-21
56,14.560572624206543,2000-03-22
57,14.73495101928711,2000-03-23
58,14.647762298583984,2000-03-24
59,14.473383903503418,2000-03-27
60,14.386195182800293,2000-03-28
61,14.560572624206543,2000-03-29
62,14.822139739990234,2000-03-30
63,15.781220436096191,2000-03-31
66,15.5196533203125,2000-04-05
67,16.217164993286133,2000-04-06
68,16.391542434692383,2000-04-07
69,15.955597877502441,2000-04-10
70,15.345274925231934,2000-04-11
71,14.909329414367676,2000-04-12
72,14.9965181350708,2000-04-13
73,14.9965181350708,2000-04-14
74,14.560572624206543,2000-04-17
75,14.647762298583984,2000-04-18
76,14.299006462097168,2000-04-19
77,14.386195182800293,2000-04-20
78,14.647762298583984,2000-04-21
79,14.647762298583984,2000-04-24
80,14.386195182800293,2000-04-25
81,14.560572624206543,2000-04-26
82,14.037439346313477,2000-04-27
83,13.950249671936035,2000-04-28
85,14.386195182800293,2000-05-02
86,14.124628067016602,2000-05-03
87,14.124628067016602,2000-05-04
88,14.124628067016602,2000-05-05
89,14.124628067016602,2000-05-08
91,13.252737045288086,2000-05-10
92,13.07835865020752,2000-05-11
93,12.729602813720703,2000-05-12
94,12.511630058288574,2000-05-15
95,12.468034744262695,2000-05-16
96,12.42444133758545,2000-05-17
97,12.38084602355957,2000-05-18
98,12.42444133758545,2000-05-19
99,11.421767234802246,2000-05-22
100,11.508955955505371,2000-05-23
101,11.160200119018555,2000-05-24
102,10.898632049560547,2000-05-25
103,10.855037689208984,2000-05-26
104,11.508955955505371,2000-05-29
106,11.421767234802246,2000-05-31
107,11.160200119018555,2000-06-01
