,high,date
0,7.067535877227783,2000-01-04
1,7.204501152038574,2000-01-05
2,7.286684036254883,2000-01-06
3,7.670193195343018,2000-01-07
4,7.9989118576049805,2000-01-10
5,7.889339923858643,2000-01-11
6,7.670193195343018,2000-01-12
7,7.724978923797607,2000-01-13
8,8.0263090133667,2000-01-14
9,7.861948013305664,2000-01-17
10,8.0263090133667,2000-01-18
11,7.9989118576049805,2000-01-19
12,7.9989118576049805,2000-01-20
13,7.834549903869629,2000-01-21
14,8.081094741821289,2000-01-24
15,8.19067096710205,2000-01-25
16,8.0263090133667,2000-01-26
17,8.327634811401367,2000-01-27
18,8.382426261901855,2000-01-28
19,8.355032920837402,2000-01-31
20,8.300243377685547,2000-02-01
21,8.163273811340332,2000-02-02
22,8.163273811340332,2000-02-03
23,8.163273811340332,2000-02-04
24,8.163273811340332,2000-02-07
25,8.163273811340332,2000-02-08
26,8.355032920837402,2000-02-09
27,8.437211036682129,2000-02-10
28,8.546788215637207,2000-02-11
29,8.409818649291992,2000-02-14
30,8.327634811401367,2000-02-15
31,8.272850036621094,2000-02-16
32,8.546788215637207,2000-02-17
33,8.820720672607422,2000-02-18
34,9.122047424316406,2000-02-21
35,8.957690238952637,2000-02-22
36,8.464604377746582,2000-02-23
37,8.218064308166504,2000-02-24
38,7.9715189933776855,2000-02-25
39,7.724978923797607,2000-02-28
40,7.944126129150391,2000-02-29
41,8.135881423950195,2000-03-01
42,8.081094741821289,2000-03-02
43,8.0263090133667,2000-03-03
44,7.834549903869629,2000-03-06
45,7.779764175415039,2000-03-07
46,7.779764175415039,2000-03-08
47,7.889339923858643,2000-03-09
48,7.807161808013916,2000-03-10
49,7.670193195343018,2000-03-13
50,7.204501152038574,2000-03-14
51,7.368862152099609,2000-03-15
52,7.0949249267578125,2000-03-16
53,7.231893062591553,2000-03-17
54,6.95796012878418,2000-03-20
55,7.423647880554199,2000-03-21
56,7.9167327880859375,2000-03-22
57,8.300243377685547,2000-03-23
58,7.9989118576049805,2000-03-24
59,8.218064308166504,2000-03-27
60,8.218064308166504,2000-03-28
61,8.135881423950195,2000-03-29
62,8.19067096710205,2000-03-30
63,8.081094741821289,2000-03-31
64,7.9989118576049805,2000-04-03
65,7.9989118576049805,2000-04-04
66,8.218064308166504,2000-04-05
67,8.491996765136719,2000-04-06
68,8.382426261901855,2000-04-07
69,8.218064308166504,2000-04-10
70,8.163273811340332,2000-04-11
71,8.272850036621094,2000-04-12
72,8.081094741821289,2000-04-13
73,7.9715189933776855,2000-04-14
74,7.478437900543213,2000-04-17
75,7.670193195343018,2000-04-18
76,7.724978923797607,2000-04-19
77,7.724978923797607,2000-04-20
78,7.752371788024902,2000-04-21
79,7.724978923797607,2000-04-24
80,7.560616970062256,2000-04-25
81,7.423647880554199,2000-04-26
82,7.259285926818848,2000-04-27
83,7.368862152099609,2000-04-28
84,7.177107810974121,2000-05-01
85,7.204501152038574,2000-05-02
86,7.122322082519531,2000-05-03
87,7.231893062591553,2000-05-04
88,7.368862152099609,2000-05-05
89,7.231893062591553,2000-05-08
90,7.040139198303223,2000-05-09
91,7.478437900543213,2000-05-10
92,7.341469764709473,2000-05-11
93,7.533224105834961,2000-05-12
94,7.478437900543213,2000-05-15
95,7.451045989990234,2000-05-16
96,7.9167327880859375,2000-05-17
97,7.861948013305664,2000-05-18
98,8.0263090133667,2000-05-19
99,7.615403175354004,2000-05-22
100,7.588009834289551,2000-05-23
101,7.423647880554199,2000-05-24
102,7.505830764770508,2000-05-25
103,7.560616970062256,2000-05-26
104,7.505830764770508,2000-05-29
105,7.341469764709473,2000-05-30
106,7.533224105834961,2000-05-31
107,7.478437900543213,2000-06-01
108,7.505830764770508,2000-06-02
109,7.560616970062256,2000-06-05
110,7.396255016326904,2000-06-06
111,7.396255016326904,2000-06-07
112,7.396255016326904,2000-06-08
113,7.368862152099609,2000-06-09
114,7.259285926818848,2000-06-12
115,7.177107810974121,2000-06-13
116,7.204501152038574,2000-06-14
117,7.177107810974121,2000-06-15
118,7.177107810974121,2000-06-16
119,7.177107810974121,2000-06-19
120,7.177107810974121,2000-06-20
121,7.177107810974121,2000-06-21
122,7.177107810974121,2000-06-22
123,7.149714946746826,2000-06-23
124,7.040139198303223,2000-06-26
125,7.067535877227783,2000-06-27
126,7.040139198303223,2000-06-28
127,6.903174877166748,2000-06-29
128,6.848383903503418,2000-06-30
129,6.985352993011475,2000-07-03
130,7.067535877227783,2000-07-04
131,6.903174877166748,2000-07-05
132,7.067535877227783,2000-07-06
133,8.402149200439453,2000-07-07
134,8.204915046691895,2000-07-10
135,8.126020431518555,2000-07-11
136,8.007680892944336,2000-07-12
137,7.849891185760498,2000-07-13
138,8.323253631591797,2000-07-14
139,8.362698554992676,2000-07-17
140,8.362698554992676,2000-07-18
141,8.362698554992676,2000-07-19
142,8.165465354919434,2000-07-20
143,8.126020431518555,2000-07-21
144,8.086576461791992,2000-07-24
145,8.126020431518555,2000-07-25
146,8.165465354919434,2000-07-26
147,8.126020431518555,2000-07-27
148,8.481043815612793,2000-07-28
149,9.309418678283691,2000-07-31
150,9.15163516998291,2000-08-01
151,9.072739601135254,2000-08-02
152,9.269974708557129,2000-08-03
153,9.072739601135254,2000-08-04
154,8.599383354187012,2000-08-07
155,8.402149200439453,2000-08-08
156,8.481043815612793,2000-08-09
157,8.441594123840332,2000-08-10
158,8.362698554992676,2000-08-11
159,8.323253631591797,2000-08-14
160,8.086576461791992,2000-08-15
161,8.283809661865234,2000-08-16
162,8.165465354919434,2000-08-17
163,8.165465354919434,2000-08-18
164,8.007680892944336,2000-08-21
165,7.968235969543457,2000-08-22
166,7.8104472160339355,2000-08-23
167,7.889340877532959,2000-08-24
168,7.692107200622559,2000-08-25
169,7.258194923400879,2000-08-28
170,7.179299831390381,2000-08-29
171,6.942621231079102,2000-08-30
172,6.666491985321045,2000-08-31
173,6.548152923583984,2000-09-01
174,6.8637261390686035,2000-09-04
175,7.100405216217041,2000-09-05
176,6.8637261390686035,2000-09-06
177,6.587596893310547,2000-09-07
178,6.627048015594482,2000-09-08
179,6.587596893310547,2000-09-11
180,6.508703231811523,2000-09-12
181,6.508703231811523,2000-09-13
182,6.587596893310547,2000-09-14
183,6.508703231811523,2000-09-15
184,6.272024154663086,2000-09-18
185,5.877555847167969,2000-09-19
186,5.66060209274292,2000-09-20
187,5.995901107788086,2000-09-21
188,5.995901107788086,2000-09-22
189,6.074790000915527,2000-09-25
190,6.350918769836426,2000-09-26
191,6.311473846435547,2000-09-27
192,6.311473846435547,2000-09-28
193,6.272024154663086,2000-09-29
194,6.074790000915527,2000-10-02
195,6.1142401695251465,2000-10-03
196,6.3903632164001465,2000-10-04
197,6.824275970458984,2000-10-05
198,6.903171062469482,2000-10-06
199,7.258194923400879,2000-10-09
200,6.942621231079102,2000-10-10
201,7.415977954864502,2000-10-11
202,7.534317970275879,2000-10-12
203,7.021510124206543,2000-10-13
204,6.784832000732422,2000-10-16
205,6.548152923583984,2000-10-17
206,6.666491985321045,2000-10-18
207,6.350918769836426,2000-10-19
208,6.350918769836426,2000-10-20
209,7.258194923400879,2000-10-23
210,7.218743801116943,2000-10-24
211,7.33708381652832,2000-10-25
212,7.258194923400879,2000-10-26
213,7.100405216217041,2000-10-27
214,7.3765339851379395,2000-10-30
215,7.4554290771484375,2000-10-31
216,7.494873046875,2000-11-01
217,7.771001815795898,2000-11-02
218,8.283809661865234,2000-11-03
219,7.889340877532959,2000-11-06
